asset,proposed use,status,note
home-research-collage.webp,Homepage hero,Used,"Composite of presentation, samples, partnership and fieldwork"
getcampy-presentation.webp,GETCampy card and hero,Used,Strong project-specific presentation image
sequencing-tubes.webp,Homepage and GETCampy,Used,Clean laboratory detail
market-sampling.webp,Homepage and GETCampy,Used provisionally,"Confirm country, project and photo credit"
portable-sequencing.webp,GETCampy,Used provisionally,Confirm device/context caption
conference-talk.webp,People/supervision,Used,Professional presentation setting
international-meeting.webp,People/supervision,Used provisionally,Confirm institution and photo credit
conference-award.webp,People/supervision,Used provisionally,Confirm event and permission
source-attribution-figure.webp,Behind-the-paper story,Used,Figure screenshot; replace with publication-quality panel later
Portrait candidates,People profile,Deferred,Need the user to choose and confirm the preferred portrait
Leisure/social photographs,None,Excluded,Not suitable for the professional site
AI-generated novelty artwork,None,Excluded,Does not support the current scientific visual identity
