year,publishedDate,type,status,title,doi,pmid,themeId
2026,2026-07-15,journal,published,Genomic insights into specialized and primary metabolism gene clusters in methicillin-resistant Staphylococcus aureus from Egyptian community settings,10.1186/s12864-026-13121-y,42458242,evolution
2026,2026-06-25,journal,published,Protocols for genomic epidemiology and source attribution of enteric bacteria causing diarrhoeal disease across Africa,10.1136/bmjopen-2025-109566,,tools
2026,2026-05-21,preprint,preprint,Insertion sequence elements drive within-host evolution of Staphylococcus epidermidis in persistent orthopaedic device-related infections,10.64898/2026.05.21.726754,,evolution
2026,2026-04-02,journal,published,Pathoadaptive evolution and clonal dissemination of community-associated methicillin-resistant Staphylococcus aureus in Egypt,10.1186/s12879-026-13097-w,41928146,evolution
2026,2026-02-19,journal,published,"Genomic epidemiology of a 2023–2024 Oropouche virus disease outbreak in Iquitos, Peru",10.1016/j.lana.2026.101413,41756787,transmission
2026,2026-02-10,preprint,preprint,"A stable, hierarchical LIN code system for Campylobacter jejuni and Campylobacter coli",10.64898/2026.02.10.705007,,tools
2026,2026-01-10,journal,published,Lineage-linked biofilm formation and widespread multidrug resistance among Indian Acinetobacter baumannii clinical isolates,10.1093/jambio/lxag007,41518211,tools
2026,2026-01-06,preprint,preprint,"Robust performance of culture, qPCR, and genomic approaches for Shigella serotyping in a pediatric surveillance cohort",10.64898/2026.01.05.26343460,41542695,tools
2026,2026-01-01,journal,in press,Using a Bayesian Belief Network to explore public health interventions in The Gambia,,,transmission
2026,2026-01-01,preprint,preprint,Recent emergence of a multidrug-resistant Campylobacter coli lineage linked to poultry intensification in the Peruvian Amazon,10.21203/rs.3.rs-8865396/v1,,evolution
2025,2025-10-08,journal,published,"Comparative genomic analysis of Mycoplasma pneumoniae isolated in the United Kingdom, between 2016-2024",10.1186/s12864-025-12101-y,41062935,evolution
2025,2025-01-01,journal,published,The genomic surveillance gap: averting the antimicrobial resistance pandemic requires global equity and action,10.1016/S1473-3099(25)00723-6,,tools
2025,2025-01-01,journal,published,Stability of Helicobacter pylori Resistance to Clarithromycin,10.4236/ojmm.2025.154022,,evolution
2025,2025-01-01,preprint,preprint,Monitoring of vaccine targets and interventions using global genome data: vaccines.watch,10.1101/2025.06.13.659488,,tools
2025,2025-01-01,journal,published,Methicillin-sensitive Staphylococcus aureus lineages contribute towards poor patient outcomes in orthopaedic device-related infections,10.1099/mgen.0.001390,,evolution
2025,2025-01-01,journal,published,Growth rates and metabolic traits differentiate Campylobacter jejuni strains by diarrheal manifestation,10.1099/jmm.0.002053,,evolution
2025,2025-01-01,journal,published,Characterization of antibiotic determinants and heavy metal resistance genes in Escherichia coli from pigs in Catalonia,10.1099/mgen.0.001371,,transmission
2025,2025-01-01,journal,published,Biotype determines survival of Yersinia enterocolitica in red blood cell concentrates,10.3390/ijms26125775,,evolution
2025,2025-01-01,journal,published,American black bear (Ursus americanus) as a potential host for Campylobacter jejuni,10.1371/journal.pone.0331559,,evolution
2025,2025-01-01,journal,published,[Consortium member] Monitoring antimicrobial resistance trends from global genomics data: AMR.watch,10.1371/journal.pgph.0005256,,tools
2024,2024-01-01,journal,published,The epidemiology and impact of persistent Campylobacter infections on childhood growth,10.1016/j.eclinm.2024.102841,,transmission
2024,2024-01-01,journal,published,Sharing of cmeRABC alleles between C. coli and C. jejuni associated with extensive drug resistance,10.1128/mbio.02054-24,,transmission
2024,2024-01-01,journal,published,Proximity to humans is associated with antimicrobial-resistant enteric pathogens in wild-bird microbiomes,10.1016/j.cub.2024.07.013,,transmission
2024,2024-01-01,journal,published,Novel rpsK / rpsD primer-probe assay improves detection of Campylobacter jejuni and Campylobacter coli in human stool,10.1371/journal.pntd.0012018,,tools
2024,2024-01-01,journal,published,Machine learning to attribute the source of Campylobacter infections in the United States,10.1016/j.jinf.2024.106265,,transmission
2024,2024-01-01,journal,published,Global variation in Escherichia coli mcr-1 genes and plasmids from animal and human genomes following colistin usage restrictions in livestock,10.3390/antibiotics13080759,,transmission
2024,2024-01-01,journal,published,Genomic tailoring of autogenous poultry vaccines to reduce Campylobacter from farm to fork,10.1038/s41541-024-00879-z,,transmission
2024,2024-01-01,journal,published,"Epistasis, core-genome disharmony, and adaptation in recombining bacteria",10.1128/mbio.00581-24,,evolution
2024,2024-01-01,journal,published,Commercial farmed swine harbour a variety of pathogenic bacteria and antimicrobial resistance genes,10.1099/jmm.0.001787,,transmission
2024,2024-01-01,journal,published,Campylobacter jejuni and Campylobacter coli genomic resistant determinants imperfectly explain phenotypic resistance to ciprofloxacin and azithromycin in Peru,10.1016/j.jgar.2024.01.009,,prediction
2024,2024-01-01,journal,published,Assessing antimicrobial resistance profiles of Salmonella enterica in the pork production system,10.1099/jmm.0.001894,,evolution
2024,2024-01-01,journal,published,"[consortium member] Geographical distribution, disease association and diversity of Klebsiella pneumoniae K/L and O antigens in India: roadmap for vaccine development",10.1099/mgen.0.001271,,transmission
