year,title,status,publicationType,doi,url,link_source
2026,Using a Bayesian Belief Network to explore public health interventions in The Gambia,in press,journal,,,Google Scholar title search fallback
2026,"Robust performance of culture, qPCR, and genomic approaches for Shigella serotyping in a pediatric surveillance cohort",preprint,preprint,10.64898/2026.01.05.26343460,,DOI
2026,Recent emergence of a multidrug-resistant Campylobacter coli lineage linked to poultry intensification in the Peruvian Amazon,preprint,preprint,10.21203/rs.3.rs-8865396/v1,,DOI
2026,Protocols for genomic epidemiology and source attribution of enteric bacteria causing diarrhoeal disease across Africa,published,journal,10.1136/bmjopen-2025-109566,,DOI
2026,Pathoadaptive evolution and clonal dissemination of community-associated methicillin-resistant Staphylococcus aureus in Egypt,published,journal,10.1186/s12879-026-13097-w,,DOI
2026,Insertion sequence elements drive within-host evolution of Staphylococcus epidermidis in persistent orthopaedic device-related infections,preprint,preprint,10.64898/2026.05.21.726754,,DOI
2026,"Genomic epidemiology of a 2023–2024 Oropouche virus disease outbreak in Iquitos, Peru",published,journal,10.1016/j.lana.2026.101413,,DOI
2026,"A stable, hierarchical LIN code system for Campylobacter jejuni and Campylobacter coli",preprint,preprint,10.64898/2026.02.10.705007,,DOI
2026,"[Consortium member] Lineage-Linked Biofilm Formation and Widespread Multidrug Resistance among Indian Acinetobacter baumannii Clinical Isolates. Journal of Applied Microbiology, lxag007, doi: 10.1093/jambio/lxag007",published,journal,10.1093/jambio/lxag007,,DOI
2025,The genomic surveillance gap: averting the antimicrobial resistance pandemic requires global equity and action,published,journal,10.1016/S1473-3099(25)00723-6,,DOI
2025,Stability of Helicobacter pylori Resistance to Clarithromycin,published,journal,10.4236/ojmm.2025.154022,,DOI
2025,Monitoring of vaccine targets and interventions using global genome data: vaccines.watch,preprint,preprint,10.1101/2025.06.13.659488,,DOI
2025,Methicillin-sensitive Staphylococcus aureus lineages contribute towards poor patient outcomes in orthopaedic device-related infections,published,journal,10.1099/mgen.0.001390,,DOI
2025,Growth rates and metabolic traits differentiate Campylobacter jejuni strains by diarrheal manifestation,published,journal,10.1099/jmm.0.002053,,DOI
2025,"Comparative genomic analysis of Mycoplasma pneumoniae isolated in the United Kingdom, between 2016-2024",published,journal,10.1186/s12864-025-12101-y,,DOI
2025,Characterization of antibiotic determinants and heavy metal resistance genes in Escherichia coli from pigs in Catalonia,published,journal,10.1099/mgen.0.001371,,DOI
2025,Biotype determines survival of Yersinia enterocolitica in red blood cell concentrates,published,journal,10.3390/ijms26125775,,DOI
2025,American black bear (Ursus americanus) as a potential host for Campylobacter jejuni,published,journal,10.1371/journal.pone.0331559,,DOI
2025,[Consortium member] Monitoring antimicrobial resistance trends from global genomics data: AMR.watch,published,journal,10.1371/journal.pgph.0005256,,DOI
2024,The epidemiology and impact of persistent Campylobacter infections on childhood growth,published,journal,10.1016/j.eclinm.2024.102841,,DOI
2024,Sharing of cmeRABC alleles between C. coli and C. jejuni associated with extensive drug resistance,published,journal,10.1128/mbio.02054-24,,DOI
2024,Proximity to humans is associated with antimicrobial-resistant enteric pathogens in wild-bird microbiomes,published,journal,10.1016/j.cub.2024.07.013,,DOI
2024,Novel rpsK / rpsD primer-probe assay improves detection of Campylobacter jejuni and Campylobacter coli in human stool,published,journal,10.1371/journal.pntd.0012018,,DOI
2024,Machine learning to attribute the source of Campylobacter infections in the United States,published,journal,10.1016/j.jinf.2024.106265,,DOI
2024,Global variation in Escherichia coli mcr-1 genes and plasmids from animal and human genomes following colistin usage restrictions in livestock,published,journal,10.3390/antibiotics13080759,,DOI
2024,Genomic tailoring of autogenous poultry vaccines to reduce Campylobacter from farm to fork,published,journal,10.1038/s41541-024-00879-z,,DOI
2024,"Epistasis, core-genome disharmony, and adaptation in recombining bacteria",published,journal,10.1128/mbio.00581-24,,DOI
2024,Commercial farmed swine harbour a variety of pathogenic bacteria and antimicrobial resistance genes,published,journal,10.1099/jmm.0.001787,,DOI
2024,Campylobacter jejuni and Campylobacter coli genomic resistant determinants imperfectly explain phenotypic resistance to ciprofloxacin and azithromycin in Peru,published,journal,10.1016/j.jgar.2024.01.009,,DOI
2024,Assessing antimicrobial resistance profiles of Salmonella enterica in the pork production system,published,journal,10.1099/jmm.0.001894,,DOI
2024,"[consortium member] Geographical distribution, disease association and diversity of Klebsiella pneumoniae K/L and O antigens in India: roadmap for vaccine development",published,journal,10.1099/mgen.0.001271,,DOI
2024,"[Consortium member] Gene content, phage cycle regulation model and prophage inactivation disclosed by prophage genomics in the Helicobacter pylori Genome Project",published,journal,10.1080/19490976.2024.2379440,,DOI
2023,The Helicobacter pylori Genome Project: insights into H. pylori population structure from analysis of a worldwide collection of complete genomes,published,journal,10.1038/s41467-023-43562-y,,DOI
2023,Salmonella linkage between good agricultural practice certified broiler farms and poultry slaughterhouses in an intensive farming area in upper northern part of Thailand,published,journal,10.12982/VIS.2023.057,,DOI
2023,Recombination-mediated adaptation of methicillin-resistant Staphylococcus aureus clonal complex 1 in Egyptian healthcare settings,published,journal,10.1186/s12941-023-00659-y,,DOI
2023,Oral and gut microbiome biomarkers of susceptibility to respiratory tract infection in adults: a longitudinal cohort feasibility study,published,journal,10.1016/j.heliyon.2023.e18610,,DOI
2023,Evidence of potential Campylobacter jejuni zooanthroponosis in captive macaque populations,published,journal,10.1099/mgen.0.001121,,DOI
2023,Contrasting genes for short and long-term biofilm adaptation in Listeria,published,journal,10.1099/mgen.0.001114,,DOI
2023,[consortium member] Novel multidrug-resistant sublineages of Staphylococcus aureus clonal complex 22 discovered in India,published,journal,10.1128/msphere.00185-23,,DOI
2022,"Stereospecific metabolism of chloramphenicol by bacteria isolated wastewater, and the importance of stereochemistry in environmental risk assessments for antibiotics",published,journal,10.1016/j.watres.2022.118415,,DOI
2022,Spatiotemporal investigation of antibiotic resistance in the urban water cycle influenced by environmental and anthropogenic activity,published,journal,10.1128/spectrum.02473-22,,DOI
2022,Signatures of selection in core and accessory genomes indicate different ecological drivers of diversification among Bacillus cereus clades,published,journal,10.1111/mec.16490,,DOI
2022,Repeated out-of-Africa expansions of Helicobacter pylori driven by replacement of deleterious mutations,published,journal,10.1038/s41467-022-34475-3,,DOI
2022,Local accessory gene sharing among Egyptian Campylobacter potentially promotes the spread of antimicrobial resistance,published,journal,10.1099/mgen.0.000834,,DOI
2022,"Identification of Streptococcus suis carriage in healthy pigs in Chiang Mai, Thailand",published,journal,10.12982/VIS.2022.027,,DOI
2022,Host ecology regulates interspecies recombination in bacteria of the genus Campylobacter,published,journal,10.7554/eLife.73552,,DOI
2022,Genome-based analysis of infrequent Salmonella serotypes through the Thai pork production chain,published,journal,10.3389/fmicb.2022.968695,,DOI
2022,Genetic diversity and variation in antimicrobial-resistance determinants of non-serotype 2 Streptococcus suis isolates from healthy pigs,published,journal,10.1099/mgen.0.000882,,DOI
2021,Stress-resistance associated with multi-host transmission and enhanced biofilm formation at 42°C among hyper-aerotolerant generalist Campylobacter jejuni,published,journal,10.1016/j.fm.2020.103706,,DOI
2021,Stereoselective bacterial metabolism of antibiotics in environmental bacteria – a novel biochemical workflow,published,journal,10.3389/fmicb.2021.562157,,DOI
2021,Quantifying bacterial evolution in the wild: a birthday problem for Campylobacter lineages,published,journal,10.1371/journal.pgen.1009829,,DOI
2021,Occurrence and sequence type of antimicrobial-resistant Salmonella spp. circulating in antibiotic-free organic pig farms of northern Thailand,published,journal,10.14456/tjvm.2021.39,,DOI
2021,Multiple clones of colistin-resistant Salmonella enterica carrying mcr-1 plasmids in meat products and patients in Northern Thailand,published,journal,10.1016/j.ijfoodmicro.2021.109314,,DOI
2021,Genome-wide association study uncovers signature genetic alterations among Pseudomonas aeruginosa cystic fibrosis isolates,published,journal,10.1371/journal.ppat.1009681,,DOI
2021,Genome evolution and emergence of pathogenicity in avian Escherichia coli,published,journal,10.1038/s41467-021-20988-w,,DOI
2021,Campylobacter jejuni genotypes associated with post infection irritable bowel syndrome in humans,published,journal,10.1038/s42003-021-02554-8,,DOI
2020,Whole-genome informatics of monophasic variant of Salmonella Typhimurium in pig production in Thailand,published,journal,10.7717/peerj.9700,,DOI
2020,High-resolution sweep metagenomics using fast probabilistic inference. Wellcome Open Research 5:14; doi: 10.12688/wellcomeopenres.15639.1; [bioRxiv doi: 10.1101/332544],preprint,preprint,10.12688/wellcomeopenres.15639.1,,DOI
2020,Genomic epidemiology of Campylobacter jejuni associated with asymptomatic paediatric infection in the Peruvian Amazon,published,journal,10.1371/journal.pntd.0008533,,DOI
2020,Determination of Campylobacter coli host-segregating SNPs and their use for source attribution of clinical isolates,published,journal,10.1128/AEM.01787-2,,DOI
2020,Agricultural intensification drives the evolution of host specialism in the enteric pathogen Campylobacter jejuni,published,journal,10.1073/pnas.1917168117,,DOI
2020,"A five-hundred year tale of co-evolution, adaptation and virulence: Helicobacter pylori in the Americas",published,journal,10.1038/s41396-020-00758-0,,DOI
2019,Prevalence of faecal carriage of extended-spectrum beta-lactamase (ESBL)-producing Escherichia coli in veterinary hospital staff and students Veterinary Record Open 6: e000307; doi: 10.1136/vetreco-2018-000307,published,journal,10.1136/vetreco-2018-000307,,DOI
2019,Genetic diversity of composite enterotoxigenic Staphylococcus epidermidis pathogenicity islands,published,journal,10.1093/gbe/evz259,,DOI
2019,"Gene pool transmission of multidrug resistance among Campylobacter from livestock, sewage and human disease",published,journal,10.1111/1462-2920.14760,,DOI
2019,Domestication of Campylobacter jejuni NCTC 11168,published,journal,10.1099/mgen.0.000279,,DOI
2019,Core genome sequence analysis to characterise Salmonella Rissen ST469 from swine production chain,published,journal,10.1016/j.ijfoodmicro.2019.05.022,,DOI
2018,Whole genome Multilocus Sequence Typing (wgMLST) and acquired antimicrobials resistance genes of pan-susceptible Salmonella Weltevreden from Thai pork production processes,published,journal,10.4014/mbl.1802.02008,,DOI
2018,The potential of isolation source to predict colonisation in avian hosts: A case study in Campylobacter jejuni strains from three bird species Frontiers in Microbiology 9:591 doi: 10.3389/fmicb.2018.00591,published,journal,10.3389/fmicb.2018.00591,,DOI
2018,"Molecular epidemiology and comparative genomics and typing of Campylobacter concisus strains from saliva, faeces and gut mucosal biopsies in inflammatory bowel disease Scientific Reports 8:1902; doi:10.1038/s41598-018-20135-4",published,journal,10.1038/s41598-018-20135-4,,DOI
2018,Lineage-specific plasmid acquisition and the evolution of specialized pathogens in Bacillus thuringiensis and the Bacillus cereus group Molecular Ecology 27(7): 1524-1540 doi: 10.1111/mec.14546,published,journal,10.1111/mec.14546,,DOI
2018,Hidden antibiotic resistance fitness costs revealed by GWAS-based epistasis analysis,published,journal,10.1186/s13059-018-1469-2,,DOI
2018,Genomic epidemiology of the commercially important pathogen Renibacterium salmoninarum within the Chilean salmon industry. Microbial Genomics doi:10.1099/mgen.0.000201,published,journal,10.1099/mgen.0.000201,,DOI
2018,Genomic Epidemiology of clinical Campylobacter spp,published,journal,10.1099/mgen.0.000227,,DOI
2018,Convergent amino acid signatures in paraphyletic Campylobacter jejuni sub-populations suggest human niche tropism Genome Biology & Evolution 10 (3): 763-774; doi:10.1093/gbe/evy026,published,journal,10.1093/gbe/evy026,,DOI
