year,status,title,organisms,topics,projects,geographies
2026,published,Genomic insights into specialized and primary metabolism gene clusters in methicillin-resistant Staphylococcus aureus from Egyptian community settings,Staphylococcus,AMR; Population genomics,,Egypt
2026,published,Protocols for genomic epidemiology and source attribution of enteric bacteria causing diarrhoeal disease across Africa,Campylobacter; Salmonella; Shigella; Escherichia coli,One Health; Source attribution; Surveillance,GETcampy-Africa; Campylobacter Control Campaign,United Kingdom; Africa
2026,preprint,Insertion sequence elements drive within-host evolution of Staphylococcus epidermidis in persistent orthopaedic device-related infections,Staphylococcus,Evolution,,
2026,published,Pathoadaptive evolution and clonal dissemination of community-associated methicillin-resistant Staphylococcus aureus in Egypt,Staphylococcus,AMR; Transmission; Evolution; Population genomics,,Egypt; Global
2026,published,"Genomic epidemiology of a 2023–2024 Oropouche virus disease outbreak in Iquitos, Peru",Oropouche virus,Transmission; Surveillance,Peru,Peru; Americas
2026,preprint,"A stable, hierarchical LIN code system for Campylobacter jejuni and Campylobacter coli",Campylobacter,Surveillance,,Global
2026,published,Lineage-linked biofilm formation and widespread multidrug resistance among Indian Acinetobacter baumannii clinical isolates,Acinetobacter,AMR; Transmission; Surveillance; Biofilms,,India; Global
2026,preprint,"Robust performance of culture, qPCR, and genomic approaches for Shigella serotyping in a pediatric surveillance cohort",Shigella,Surveillance; Diagnostics,,
2026,in press,Using a Bayesian Belief Network to explore public health interventions in The Gambia,Campylobacter,Machine learning,Campylobacter Control Campaign,The Gambia; Africa
2026,preprint,Recent emergence of a multidrug-resistant Campylobacter coli lineage linked to poultry intensification in the Peruvian Amazon,Campylobacter,AMR; One Health,Peru,Peru
2025,published,"Comparative genomic analysis of Mycoplasma pneumoniae isolated in the United Kingdom, between 2016-2024",Mycoplasma,Population genomics,,United Kingdom
2025,published,The genomic surveillance gap: averting the antimicrobial resistance pandemic requires global equity and action,,AMR; Surveillance,,Global
2025,published,Stability of Helicobacter pylori Resistance to Clarithromycin,Helicobacter,AMR,,
